Customer ID,Customer Name,Segment,City,State,Country,Market,Region
TB-11280,Toby Braunhardt,Consumer,Constantine,Constantine,Algeria,Africa,Africa
JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,APAC,Oceania
AT-735,Annie Thurman,Consumer,Budapest,Budapest,Hungary,EMEA,EMEA
EM-14140,Eugene Moren,Home Office,Stockholm,Stockholm,Sweden,EU,North
PO-18865,Patrick O'Donnell,Consumer,Dhaka,Dhaka,Bangladesh,APAC,Central Asia
LC-17050,Liz Carlisle,Consumer,Mission Viejo,California,United States,US,West
DK-3150,David Kendrick,Corporate,Luanda,Luanda,Angola,Africa,Africa
SP-20650,Stephanie Phelps,Corporate,Yingcheng,Hubei,China,APAC,North Asia
DK-13150,David Kendrick,Corporate,Chongqing,Chongqing,China,APAC,North Asia
DH-13075,Dave Hallsten,Corporate,San Miguelito,Panama,Panama,LATAM,Central
PO-8850,Patrick O'Brill,Consumer,Mashhad,Razavi Khorasan,Iran,EMEA,EMEA
GH-14485,Gene Hale,Corporate,La Rochelle,Poitou-Charentes,France,EU,Central
RR-19315,Ralph Ritter,Consumer,Parma,Emilia-Romagna,Italy,EU,South
IM-15055,Ionia McGrath,Consumer,Halle,North Rhine-Westphalia,Germany,EU,Central
TP-11415,Tom Prescott,Consumer,Toronto,Ontario,Canada,Canada,Canada
TS-21370,Todd Sumrall,Corporate,Farnborough,England,United Kingdom,EU,North
RD-9900,Ruben Dartt,Consumer,Vinnytsya,Vinnytsya,Ukraine,EMEA,EMEA
TB-21400,Tom Boeckenhauer,Consumer,Berlin,Berlin,Germany,EU,Central
VF-21715,Vicky Freymann,Home Office,Elmhurst,Illinois,United States,US,Central
KH-16360,Katherine Hughes,Consumer,Adelaide,South Australia,Australia,APAC,Oceania
DB-13060,Dave Brooks,Consumer,Seattle,Washington,United States,US,West
GW-14605,Giulietta Weimer,Consumer,Houston,Texas,United States,US,Central
SC-20380,Shahid Collister,Consumer,El Paso,Texas,United States,US,Central
BS-1800,Bryan Spruell,Home Office,Kherson,Kherson,Ukraine,EMEA,EMEA
CM-12235,Chris McAfee,Consumer,Colmar,Alsace,France,EU,Central
RF-19345,Randy Ferguson,Corporate,Handa,Aichi,Japan,APAC,North Asia
LH-17155,Logan Haushalter,Consumer,Palembang,Sumatera Selatan,Indonesia,APAC,Southeast Asia
LO-17170,Lori Olson,Corporate,Berlin,Berlin,Germany,EU,Central
EL-13735,Ed Ludwig,Home Office,Bochum,North Rhine-Westphalia,Germany,EU,Central
BD-11620,Brian DeCherney,Consumer,Melbourne,Victoria,Australia,APAC,Oceania
JF-15490,Jeremy Farry,Consumer,Rome,Lazio,Italy,EU,South
EH-3765,Edward Hooks,Corporate,Kano,Kano,Nigeria,Africa,Africa
HR-14770,Hallie Redmond,Home Office,New York City,New York,United States,US,East
AS-10045,Aaron Smayling,Corporate,Rome,Lazio,Italy,EU,South
BP-11230,Benjamin Patterson,Consumer,Treviso,Veneto,Italy,EU,South
RP-19270,Rachel Payne,Corporate,Aew?l-li,Jeju,South Korea,APAC,North Asia
JB-15400,Jennifer Braxton,Corporate,Lima,Lima (city),Peru,LATAM,South
PA-19060,Pete Armstrong,Home Office,Manila,National Capital,Philippines,APAC,Southeast Asia
VP-21760,Victoria Pisteka,Corporate,Arraiján,Panama,Panama,LATAM,Central
LS-17245,Lynn Smith,Consumer,Bogotá,Bogota,Colombia,LATAM,South
KM-16720,Kunst Miller,Consumer,Vallejo,California,United States,US,West
KH-16330,Katharine Harms,Corporate,Revere,Massachusetts,United States,US,East
AB-10060,Adam Bellavance,Home Office,Denpasar,Bali,Indonesia,APAC,Southeast Asia
MH-17620,Matt Hagelstein,Corporate,Cork,Cork,Ireland,EU,North
DW-13480,Dianna Wilson,Home Office,Lakeville,Minnesota,United States,US,Central
LT-17110,Liz Thompson,Consumer,Little Rock,Arkansas,United States,US,South
MC-18130,Mike Caudle,Corporate,Warrington,England,United Kingdom,EU,North
YS-21880,Yana Sorensen,Corporate,Matagalpa,Matagalpa,Nicaragua,LATAM,Central
